,id,location,Zip,Type,Subtype,Price,Transaction Type,Bedrooms,Living area,Kitchen type,Furnished,How many fireplaces?,Terrace,Terrace surface,Garden,Garden surface,Surface of the plot,Number of frontages,Swimming pool,Building condition
481,10554946,tervuren,3080,house,house,535000,for sale,3.0,110  m² square meters,Installed,nan,nan,nan,nan,nan,nan,124  m²  square meters,2.0,nan,Just renovated
482,10554698,wezembeek-oppem,1970,house,villa,975000,for sale,5.0,340  m² square meters,Hyper equipped,No,nan,nan,30  m²  square meters,nan,300  m²  square meters,590  m²  square meters,4.0,No,Good
483,10554917,woluwe-saint-pierre,1150,house,villa,1150000,for sale,4.0,210  m² square meters,Hyper equipped,No,nan,nan,12  m²  square meters,nan,300  m²  square meters,592  m²  square meters,4.0,No,As new
484,10554934,woluwe-saint-pierre,1150,house,house,1700000,for sale,8.0,371  m² square meters,Hyper equipped,No,nan,Yes,nan,nan,1317  m²  square meters,1610  m²  square meters,3.0,No,Good
485,10562155,wanferc%C3%A9e-baulet,6224,house,house,70000,for sale,2.0,91  m² square meters,Semi equipped,nan,nan,nan,nan,nan,100  m²  square meters,250  m²  square meters,3.0,nan,To renovate
486,10566097,waremme,4300,house,house,250000,for sale,3.0,120  m² square meters,nan,No,nan,Yes,nan,nan,650  m²  square meters,850  m²  square meters,2.0,No,To renovate
487,10568223,huy,4500,house,house,159500,for sale,3.0,100  m² square meters,Semi equipped,nan,nan,nan,nan,nan,nan,265  m²  square meters,3.0,nan,Good
488,10443200,li%C3%A8ge,4020,house,house,380000,for sale,4.0,200  m² square meters,Installed,nan,1.0,nan,40  m²  square meters,nan,600  m²  square meters,850  m²  square meters,4.0,No,Good
489,10567418,deinze%20astene,9800,house,house,650000,for sale,2.0,396  m² square meters,USA installed,No,nan,Yes,nan,nan,nan,1412  m²  square meters,3.0,No,Good
490,10567526,knokke-heist%20knokke,8300,house,villa,2795000,for sale,4.0,298  m² square meters,Hyper equipped,No,nan,Yes,nan,nan,nan,455  m²  square meters,4.0,No,As new
491,10572478,ninove%20aspelare,9404,house,house,765000,for sale,5.0,315  m² square meters,Not installed,No,nan,Yes,nan,nan,1500  m²  square meters,1923  m²  square meters,3.0,nan,To be done up
492,10577720,sint-denijs-westrem,9051,house,house,395000,for sale,3.0,130  m² square meters,Not installed,nan,nan,nan,nan,Yes,nan,130  m²  square meters,2.0,nan,Good
493,10577723,gentbrugge,9050,house,house,499000,for sale,4.0,200  m² square meters,Not installed,nan,nan,nan,nan,nan,nan,710  m²  square meters,4.0,nan,To renovate
494,10448461,ans,4430,house,apartment block,175000,for sale,3.0,177  m² square meters,Semi equipped,nan,nan,nan,150  m²  square meters,nan,100  m²  square meters,450  m²  square meters,nan,nan,To renovate
495,10448460,ans,4430,house,house,175000,for sale,3.0,177  m² square meters,Semi equipped,nan,nan,nan,150  m²  square meters,nan,100  m²  square meters,450  m²  square meters,nan,nan,To renovate
496,10206906,ahin,4500,house,house,195000,for sale,3.0,185  m² square meters,Semi equipped,nan,nan,nan,32  m²  square meters,nan,nan,151  m²  square meters,nan,nan,To be done up
497,10553179,w%C3%A9ris,6940,house,house,359000,for sale,4.0,270  m² square meters,Hyper equipped,nan,nan,nan,29  m²  square meters,nan,nan,250  m²  square meters,3.0,No,Good
498,10553217,beersel,1650,house,house,495000,for sale,5.0,258  m² square meters,Installed,nan,nan,Yes,nan,nan,200  m²  square meters,335  m²  square meters,3.0,nan,Just renovated
499,10553208,dworp,1653,house,house,495000,for sale,5.0,258  m² square meters,Installed,nan,nan,Yes,nan,nan,200  m²  square meters,335  m²  square meters,3.0,nan,Just renovated
500,10562156,wanferc%C3%A9e-baulet,6224,house,manor house,70000,for sale,2.0,91  m² square meters,Semi equipped,nan,nan,nan,nan,nan,100  m²  square meters,250  m²  square meters,3.0,nan,To renovate
501,10557429,awans%20hognoul,4342,house,house,540000,for sale,4.0,210  m² square meters,Installed,No,nan,Yes,nan,nan,100  m²  square meters,815  m²  square meters,4.0,Yes,As new
502,10557380,schaerbeek,1030,house,apartment block,869000,for sale,nan,350  m² square meters,Hyper equipped,No,nan,nan,10  m²  square meters,nan,nan,200  m²  square meters,2.0,No,Good
503,10563121,hulste,8531,house,villa,920000,for sale,5.0,450  m² square meters,Hyper equipped,nan,nan,nan,nan,nan,nan,1336  m²  square meters,4.0,nan,As new
504,10250633,deerlijk,8540,house,apartment block,2195000,for sale,nan,688  m² square meters,USA hyper equipped,No,nan,Yes,nan,nan,nan,400  m²  square meters,4.0,No,As new
505,10566899,waremme,4300,house,country cottage,250000,for sale,3.0,125  m² square meters,nan,No,nan,nan,nan,nan,nan,340  m²  square meters,3.0,nan,To renovate
506,10571756,wichelen,9260,house,house,295000,for sale,2.0,120  m² square meters,Installed,Yes,nan,nan,55  m²  square meters,nan,203  m²  square meters,471  m²  square meters,nan,nan,To renovate
507,10569611,zaventem,1930,house,house,529000,for sale,3.0,160  m² square meters,Installed,No,1.0,nan,nan,nan,220  m²  square meters,302  m²  square meters,nan,No,As new
508,10570656,schaerbeek,1030,house,apartment block,1100000,for sale,7.0,426  m² square meters,nan,No,nan,nan,9  m²  square meters,nan,nan,270  m²  square meters,2.0,No,To be done up
509,10575696,gent,9000,house,house,200000,for sale,1.0,45  m² square meters,Installed,nan,nan,nan,nan,nan,nan,25  m²  square meters,2.0,nan,To restore
510,10575941,mechelen,2800,house,house,427000,for sale,3.0,173  m² square meters,Semi equipped,nan,nan,Yes,nan,nan,105  m²  square meters,307  m²  square meters,3.0,nan,To be done up
511,10578669,hoboken,2660,house,house,349900,for sale,3.0,164  m² square meters,Installed,nan,nan,nan,nan,nan,72  m²  square meters,168  m²  square meters,2.0,nan,As new
512,10552277,xhoris,4190,house,house,278000,for sale,4.0,275  m² square meters,Installed,No,nan,Yes,nan,nan,nan,457  m²  square meters,3.0,nan,To renovate
513,10572067,kruisem,9770,house,mixed use building,339990,for sale,3.0,120  m² square meters,Installed,No,nan,nan,23  m²  square meters,nan,189  m²  square meters,120  m²  square meters,nan,No,As new
514,10556019,rhode-saint-genese,1640,house,villa,670000,for sale,4.0,167  m² square meters,Hyper equipped,No,nan,nan,53  m²  square meters,nan,350  m²  square meters,650  m²  square meters,4.0,No,As new
515,10555336,lasne,1380,house,exceptional property,1765000,for sale,8.0,603  m² square meters,USA hyper equipped,No,nan,nan,60  m²  square meters,nan,2140  m²  square meters,2512  m²  square meters,4.0,Yes,As new
516,10561715,laeken,1020,house,villa,575000,for sale,3.0,240  m² square meters,Installed,No,nan,Yes,nan,nan,75  m²  square meters,317  m²  square meters,3.0,No,Good
517,10562371,uccle,1180,house,house,1190000,for sale,5.0,369  m² square meters,nan,No,nan,Yes,nan,nan,nan,528  m²  square meters,3.0,No,Good
518,10578180,geraardsbergen%20moerbeke,9500,house,villa,327000,for sale,3.0,181  m² square meters,USA hyper equipped,No,nan,Yes,nan,nan,nan,343  m²  square meters,3.0,No,As new
519,10578182,geraardsbergen%20moerbeke,9500,house,villa,329000,for sale,3.0,184  m² square meters,USA hyper equipped,No,nan,Yes,nan,nan,nan,362  m²  square meters,3.0,No,As new
520,10578181,geraardsbergen%20moerbeke,9500,house,villa,329000,for sale,3.0,177  m² square meters,USA hyper equipped,No,nan,Yes,nan,nan,nan,406  m²  square meters,3.0,No,As new
521,10578179,geraardsbergen%20moerbeke,9500,house,villa,329000,for sale,3.0,184  m² square meters,USA hyper equipped,No,nan,Yes,nan,nan,nan,353  m²  square meters,3.0,No,As new
522,10566104,ronse,9600,house,house,319000,for sale,3.0,172  m² square meters,Hyper equipped,No,nan,nan,20  m²  square meters,nan,500  m²  square meters,775  m²  square meters,4.0,No,Good
523,10566162,kortrijk,8500,house,house,435000,for sale,4.0,300  m² square meters,Installed,No,nan,nan,25  m²  square meters,nan,115  m²  square meters,200  m²  square meters,2.0,No,As new
524,10566306,braine-l%27alleud,1420,house,mixed use building,890000,for sale,6.0,260  m² square meters,Hyper equipped,No,nan,nan,nan,nan,nan,83  m²  square meters,3.0,No,As new
525,10567629,uccle,1180,house,house,585000,for sale,4.0,154  m² square meters,Not installed,No,nan,Yes,nan,nan,70  m²  square meters,205  m²  square meters,2.0,nan,To be done up
526,10572479,la%20louviere,7100,house,house,130000,for sale,4.0,120  m² square meters,Semi equipped,nan,nan,Yes,nan,nan,nan,266  m²  square meters,2.0,No,To be done up
527,10575073,hasti%C3%88re-lavaux,5540,house,house,135000,for sale,2.0,70  m² square meters,Installed,Yes,nan,nan,26  m²  square meters,nan,640  m²  square meters,710  m²  square meters,4.0,nan,nan
528,10575071,hasti%C3%88re-lavaux,5540,house,chalet,135000,for sale,2.0,70  m² square meters,Installed,Yes,nan,nan,26  m²  square meters,nan,640  m²  square meters,710  m²  square meters,4.0,nan,nan
529,10572480,manage,7170,house,house,139000,for sale,5.0,166  m² square meters,Installed,nan,nan,Yes,nan,nan,nan,433  m²  square meters,2.0,No,Good
530,10572671,trooz%20fraipont,4870,house,house,229000,for sale,4.0,147  m² square meters,Hyper equipped,No,nan,nan,nan,nan,170  m²  square meters,291  m²  square meters,3.0,No,Good
531,10574062,plainevaux,6851,house,house,239000,for sale,2.0,100  m² square meters,Installed,nan,nan,nan,nan,Yes,nan,1530  m²  square meters,4.0,nan,Good
532,10575164,willebroek,2830,house,house,259000,for sale,3.0,168  m² square meters,Semi equipped,nan,nan,nan,nan,nan,nan,92  m²  square meters,2.0,nan,To renovate
533,10574970,gent,9000,house,mixed use building,275000,for sale,2.0,101  m² square meters,Installed,nan,nan,nan,8  m²  square meters,nan,nan,nan,2.0,nan,Good
534,10574342,bambrugge,9420,house,house,338000,for sale,3.0,154  m² square meters,Installed,nan,nan,Yes,nan,Yes,nan,171  m²  square meters,2.0,nan,nan
535,10572452,rixensart,1330,house,house,380000,for sale,4.0,238  m² square meters,USA hyper equipped,No,nan,nan,25  m²  square meters,nan,550  m²  square meters,670  m²  square meters,3.0,nan,To renovate
536,10572923,hoegaarden,3320,house,house,449000,for sale,5.0,213  m² square meters,Hyper equipped,No,nan,nan,59  m²  square meters,nan,nan,906  m²  square meters,3.0,nan,Good
537,10574027,moignel%C3%89e,5060,house,house,450000,for sale,4.0,175  m² square meters,Installed,nan,nan,nan,60  m²  square meters,nan,nan,1326  m²  square meters,4.0,nan,Good
538,10057684,roosdaal,1760,house,house,460000,for sale,5.0,377  m² square meters,Hyper equipped,No,nan,Yes,nan,nan,nan,975  m²  square meters,3.0,No,Good
539,10575029,rhode-saint-genese,1640,house,house,569000,for sale,6.0,180  m² square meters,USA hyper equipped,No,nan,nan,15  m²  square meters,nan,350  m²  square meters,503  m²  square meters,3.0,No,As new
540,10572644,sint-agatha-berchem,1082,house,house,595000,for sale,4.0,233  m² square meters,Hyper equipped,nan,nan,nan,6  m²  square meters,nan,nan,368  m²  square meters,3.0,No,As new
541,10572936,saint-gilles,1060,house,house,849000,for sale,7.0,400  m² square meters,Not installed,nan,nan,nan,22  m²  square meters,nan,182  m²  square meters,307  m²  square meters,2.0,No,To renovate
542,10572717,roeselare,8800,house,house,985000,for sale,5.0,879  m² square meters,Installed,No,nan,nan,70  m²  square meters,nan,150  m²  square meters,549  m²  square meters,3.0,No,Good
544,10470376,ivoz-ramet,4400,house,house,20000,for sale,3.0,130  m² square meters,Installed,nan,nan,Yes,nan,nan,nan,182  m²  square meters,3.0,nan,Good
545,10210769,enines,1350,house,house,100000,for sale,3.0,180  m² square meters,nan,nan,nan,nan,50  m²  square meters,Yes,nan,3000  m²  square meters,4.0,nan,Good
546,10303207,li%C3%A8ge%20grivegn%C3%A9e,4030,house,house,119000,for sale,2.0,80  m² square meters,Installed,No,nan,nan,45  m²  square meters,nan,nan,113  m²  square meters,2.0,No,To renovate
547,10544729,somme-leuze,5377,house,chalet,135000,for sale,2.0,44  m² square meters,USA installed,Yes,nan,nan,20  m²  square meters,nan,265  m²  square meters,309  m²  square meters,4.0,nan,To be done up
548,10536932,durbuy,6940,house,chalet,135000,for sale,2.0,44  m² square meters,USA installed,Yes,nan,nan,20  m²  square meters,nan,265  m²  square meters,309  m²  square meters,4.0,nan,To be done up
549,10529630,liege,4000,house,town house,159000,for sale,1.0,54  m² square meters,Hyper equipped,No,nan,Yes,nan,nan,nan,130  m²  square meters,2.0,No,As new
550,10395456,trooz,4870,house,house,165000,for sale,3.0,140  m² square meters,Not installed,No,nan,nan,20  m²  square meters,nan,80  m²  square meters,269  m²  square meters,3.0,No,To renovate
551,10395457,olne,4877,house,house,165000,for sale,3.0,140  m² square meters,Not installed,No,nan,nan,20  m²  square meters,nan,80  m²  square meters,269  m²  square meters,3.0,No,To renovate
552,10526711,mechelen,2800,house,house,179000,for sale,2.0,58  m² square meters,USA installed,No,nan,nan,nan,nan,nan,32  m²  square meters,2.0,No,To renovate
553,10338728,sprimont,4141,house,house,180000,for sale,3.0,146  m² square meters,Installed,No,nan,nan,32  m²  square meters,nan,nan,124  m²  square meters,2.0,nan,Good
554,10541047,leuze-en-hainaut,7900,house,house,185000,for sale,3.0,200  m² square meters,Semi equipped,nan,nan,Yes,nan,nan,nan,340  m²  square meters,2.0,nan,To renovate
555,10329123,trooz,4870,house,house,189000,for sale,2.0,135  m² square meters,Not installed,No,nan,nan,20  m²  square meters,nan,180  m²  square meters,397  m²  square meters,3.0,No,To be done up
556,10215059,trooz,4870,house,house,189000,for sale,2.0,90  m² square meters,Installed,No,nan,nan,nan,nan,15  m²  square meters,200  m²  square meters,4.0,nan,To be done up
557,10215050,olne,4877,house,house,189000,for sale,2.0,90  m² square meters,Installed,No,nan,nan,nan,nan,15  m²  square meters,200  m²  square meters,4.0,nan,To be done up
558,10467517,villers-ste-gertrude,6941,house,house,189000,for sale,3.0,145  m² square meters,Semi equipped,No,nan,nan,15  m²  square meters,nan,570  m²  square meters,633  m²  square meters,3.0,nan,To renovate
559,10312898,trooz,4870,house,house,195000,for sale,4.0,125  m² square meters,Installed,No,nan,nan,nan,nan,400  m²  square meters,401  m²  square meters,4.0,nan,To renovate
560,10515295,saint-georges-sur-meuse,4470,house,house,199000,for sale,3.0,193  m² square meters,Semi equipped,nan,nan,Yes,nan,nan,1680  m²  square meters,1998  m²  square meters,4.0,nan,To renovate
561,10430035,modave,4577,house,country cottage,199000,for sale,3.0,168  m² square meters,Installed,nan,1.0,nan,nan,nan,1340  m²  square meters,1750  m²  square meters,4.0,nan,Good
562,10547154,trooz,4870,house,house,199000,for sale,3.0,125  m² square meters,Installed,No,nan,nan,10  m²  square meters,nan,100  m²  square meters,328  m²  square meters,3.0,No,As new
563,10535248,huy,4500,house,house,219000,for sale,4.0,164  m² square meters,Semi equipped,nan,nan,nan,81  m²  square meters,nan,nan,215  m²  square meters,4.0,nan,Good
564,10431450,antheit,4520,house,house,219500,for sale,3.0,135  m² square meters,Semi equipped,nan,nan,Yes,nan,Yes,nan,1000  m²  square meters,3.0,nan,To be done up
565,10267919,amay,4540,house,house,219500,for sale,1.0,160  m² square meters,Installed,nan,nan,Yes,nan,Yes,nan,112  m²  square meters,2.0,nan,Good
566,10457108,ivoz-ramet,4400,house,house,220000,for sale,2.0,100  m² square meters,Installed,nan,nan,nan,35  m²  square meters,nan,380  m²  square meters,509  m²  square meters,3.0,nan,Good
567,10339408,saint-nicolas,4420,house,house,220000,for sale,3.0,117  m² square meters,Installed,No,nan,nan,25  m²  square meters,nan,70  m²  square meters,169  m²  square meters,2.0,No,Good
568,10501610,herstal,4040,house,house,225000,for sale,2.0,81  m² square meters,nan,nan,nan,nan,9  m²  square meters,nan,104  m²  square meters,225  m²  square meters,3.0,nan,Just renovated
569,9955479,li%C3%A8ge%20wandre,4020,house,house,229000,for sale,3.0,120  m² square meters,Semi equipped,No,nan,nan,32  m²  square meters,nan,250  m²  square meters,503  m²  square meters,3.0,nan,To be done up
570,10379942,wanze,4520,house,house,229000,for sale,3.0,146  m² square meters,Installed,nan,nan,nan,65  m²  square meters,nan,186  m²  square meters,363  m²  square meters,3.0,nan,Good
571,10504557,gesves,5340,house,house,229000,for sale,3.0,181  m² square meters,Semi equipped,nan,nan,nan,12  m²  square meters,nan,1450  m²  square meters,1670  m²  square meters,3.0,nan,To be done up
572,10525097,huy,4500,house,house,229500,for sale,3.0,120  m² square meters,Semi equipped,nan,1.0,Yes,nan,Yes,nan,330  m²  square meters,2.0,nan,Good
573,10352285,antheit,4520,house,house,235000,for sale,2.0,155  m² square meters,Semi equipped,nan,nan,Yes,nan,Yes,nan,1000  m²  square meters,3.0,nan,Good
574,10524606,ninove,9400,house,house,239000,for sale,3.0,120  m² square meters,Installed,nan,nan,nan,7  m²  square meters,nan,75  m²  square meters,140  m²  square meters,2.0,nan,Good
575,10472967,saint-georges-sur-meuse,4470,house,house,239500,for sale,2.0,125  m² square meters,Installed,nan,nan,nan,nan,nan,nan,826  m²  square meters,3.0,nan,As new
576,10539978,soignies,7060,house,house,245000,for sale,2.0,130  m² square meters,Installed,nan,nan,Yes,nan,Yes,nan,370  m²  square meters,3.0,nan,Good
577,10360751,namur,5000,house,house,249500,for sale,5.0,185  m² square meters,Semi equipped,nan,nan,nan,10  m²  square meters,nan,44  m²  square meters,120  m²  square meters,2.0,nan,Good
578,10550589,ferri%C3%A8res%20werbomont,4190,house,house,257000,for sale,3.0,150  m² square meters,Semi equipped,No,nan,nan,70  m²  square meters,nan,30  m²  square meters,270  m²  square meters,3.0,nan,Good
579,10487474,mons-lez-li%C3%88ge,4400,house,house,258000,for sale,3.0,158  m² square meters,Semi equipped,nan,nan,nan,30  m²  square meters,Yes,nan,300  m²  square meters,3.0,nan,As new
580,10379464,malderen,1840,house,house,269000,for sale,3.0,201  m² square meters,Semi equipped,nan,nan,nan,25  m²  square meters,Yes,nan,368  m²  square meters,3.0,nan,To renovate
581,10483553,ans,4430,house,house,275000,for sale,5.0,200  m² square meters,Installed,No,nan,nan,70  m²  square meters,nan,400  m²  square meters,642  m²  square meters,3.0,No,To be done up
582,10468468,embourg,4053,house,house,279000,for sale,3.0,132  m² square meters,Installed,nan,nan,nan,15  m²  square meters,nan,253  m²  square meters,346  m²  square meters,3.0,nan,Good
583,10510933,trooz,4870,house,house,279000,for sale,3.0,200  m² square meters,Installed,No,nan,nan,20  m²  square meters,nan,500  m²  square meters,773  m²  square meters,4.0,No,As new
584,10482856,waregem,8790,house,mixed use building,279000,for sale,2.0,93  m² square meters,Installed,Yes,nan,nan,22  m²  square meters,nan,nan,90  m²  square meters,2.0,nan,Good
585,10539297,haneffe,4357,house,house,280000,for sale,4.0,150  m² square meters,Installed,nan,nan,Yes,nan,Yes,nan,678  m²  square meters,3.0,nan,Good
586,10498986,gozee,6534,house,house,287500,for sale,4.0,199  m² square meters,Hyper equipped,nan,nan,nan,30  m²  square meters,nan,200  m²  square meters,325  m²  square meters,2.0,nan,As new
587,10481539,grivegn%C3%A9e,4030,house,apartment block,289000,for sale,5.0,190  m² square meters,nan,nan,nan,nan,30  m²  square meters,nan,nan,167  m²  square meters,3.0,nan,Good
588,10481538,grivegn%C3%A9e,4030,house,house,289000,for sale,5.0,190  m² square meters,nan,nan,nan,nan,30  m²  square meters,nan,nan,167  m²  square meters,3.0,nan,Good
589,10321181,chaudfontaine,4050,house,house,290000,for sale,3.0,162  m² square meters,Installed,No,nan,nan,nan,nan,700  m²  square meters,879  m²  square meters,4.0,No,To be done up
590,10415711,villers-la-ville,1495,house,house,295000,for sale,3.0,115  m² square meters,USA hyper equipped,No,nan,nan,15  m²  square meters,nan,15  m²  square meters,70  m²  square meters,2.0,No,As new
591,10506292,dilbeek,1700,house,house,295000,for sale,3.0,139  m² square meters,Semi equipped,nan,nan,Yes,nan,nan,174  m²  square meters,174  m²  square meters,2.0,nan,To renovate
592,10438393,hoegaarden,3320,house,house,295000,for sale,3.0,160  m² square meters,Installed,No,nan,nan,30  m²  square meters,nan,100  m²  square meters,370  m²  square meters,3.0,No,Good
593,10517290,vielsalm,6690,house,villa,295000,for sale,4.0,174  m² square meters,nan,No,nan,nan,nan,nan,946  m²  square meters,1112  m²  square meters,4.0,No,To be done up
594,10374438,saint-georges,4470,house,villa,297500,for sale,3.0,135  m² square meters,Semi equipped,nan,nan,nan,14  m²  square meters,nan,270  m²  square meters,320  m²  square meters,3.0,nan,Good
595,10406583,seneffe,7180,house,house,298000,for sale,3.0,148  m² square meters,Semi equipped,nan,1.0,nan,14  m²  square meters,nan,1800  m²  square meters,2406  m²  square meters,3.0,nan,Good
596,10292492,liege,4000,house,apartment block,299000,for sale,3.0,180  m² square meters,Semi equipped,No,nan,nan,nan,nan,nan,32  m²  square meters,2.0,No,To be done up
597,10338729,chaudfontaine,4050,house,house,299000,for sale,4.0,168  m² square meters,Semi equipped,No,nan,nan,33  m²  square meters,nan,600  m²  square meters,1000  m²  square meters,4.0,No,To renovate
598,10454974,trooz,4870,house,house,299000,for sale,3.0,210  m² square meters,Installed,No,nan,nan,20  m²  square meters,nan,400  m²  square meters,570  m²  square meters,2.0,No,Good
599,10547295,ronse,9600,house,house,299000,for sale,4.0,200  m² square meters,USA hyper equipped,No,nan,nan,30  m²  square meters,nan,83  m²  square meters,207  m²  square meters,2.0,No,Good
600,10415695,villers-la-ville,1495,house,house,310000,for sale,3.0,100  m² square meters,USA hyper equipped,nan,nan,nan,15  m²  square meters,nan,35  m²  square meters,80  m²  square meters,2.0,No,As new
601,10490281,woluwe-saint-pierre,1150,house,house,325000,for sale,1.0,90  m² square meters,USA hyper equipped,nan,nan,nan,30  m²  square meters,nan,40  m²  square meters,150  m²  square meters,2.0,No,Good
602,10430742,tienen,3300,house,house,335000,for sale,4.0,182  m² square meters,Hyper equipped,No,nan,Yes,nan,nan,nan,358  m²  square meters,3.0,nan,As new
603,10547571,rixensart,1330,house,house,345000,for sale,2.0,104  m² square meters,Installed,No,nan,nan,19  m²  square meters,nan,nan,405  m²  square meters,4.0,No,Good
604,10535117,schaffen,3290,house,house,348000,for sale,5.0,190  m² square meters,nan,nan,nan,Yes,nan,Yes,nan,786  m²  square meters,4.0,nan,Good
605,9438942,dilbeek,1700,house,house,349000,for sale,3.0,157  m² square meters,USA installed,No,nan,nan,20  m²  square meters,nan,200  m²  square meters,280  m²  square meters,2.0,nan,Good
606,10445318,wezembeek-oppem,1970,house,house,349000,for sale,3.0,85  m² square meters,Installed,No,nan,nan,10  m²  square meters,nan,35  m²  square meters,105  m²  square meters,2.0,nan,Good
607,10543348,waregem,8790,house,house,349000,for sale,3.0,171  m² square meters,Installed,nan,nan,Yes,nan,nan,nan,841  m²  square meters,3.0,nan,Good
608,10524897,clavier-station,4560,house,house,349500,for sale,4.0,160  m² square meters,Installed,nan,nan,Yes,nan,Yes,nan,638  m²  square meters,4.0,nan,Good
609,10409656,trooz,4870,house,house,349999,for sale,4.0,160  m² square meters,USA hyper equipped,Yes,nan,nan,25  m²  square meters,nan,800  m²  square meters,1350  m²  square meters,4.0,Yes,As new
610,10527734,sint-lievens-houtem,9520,house,house,355000,for sale,3.0,141  m² square meters,USA hyper equipped,nan,nan,Yes,nan,nan,nan,328  m²  square meters,3.0,No,As new
611,10280209,braine-l%27alleud,1420,house,mixed use building,360000,for sale,3.0,291  m² square meters,USA installed,No,nan,nan,9  m²  square meters,nan,10  m²  square meters,140  m²  square meters,2.0,No,Good
612,10541550,la%20hulpe,1310,house,house,365000,for sale,3.0,165  m² square meters,Semi equipped,nan,nan,Yes,nan,nan,nan,629  m²  square meters,2.0,No,Good
613,10387291,waterloo,1410,house,house,365000,for sale,4.0,152  m² square meters,Installed,nan,nan,nan,43  m²  square meters,nan,182  m²  square meters,357  m²  square meters,2.0,nan,To be done up
614,10540619,lebbeke,9280,house,house,367000,for sale,3.0,160  m² square meters,Installed,nan,nan,Yes,nan,Yes,nan,322  m²  square meters,2.0,nan,To be done up
615,10448093,schaerbeek,1030,house,house,369000,for sale,4.0,180  m² square meters,USA installed,No,nan,nan,90  m²  square meters,nan,90  m²  square meters,150  m²  square meters,2.0,nan,To renovate
616,10448094,evere,1140,house,house,369000,for sale,4.0,180  m² square meters,USA installed,No,nan,nan,90  m²  square meters,nan,90  m²  square meters,150  m²  square meters,2.0,nan,To renovate
617,10521615,gooik,1755,house,house,369000,for sale,3.0,140  m² square meters,Semi equipped,nan,nan,Yes,nan,nan,nan,2191  m²  square meters,4.0,nan,To be done up
618,10547932,jodoigne,1370,house,house,370000,for sale,3.0,165  m² square meters,Hyper equipped,No,nan,nan,15  m²  square meters,nan,630  m²  square meters,5336  m²  square meters,4.0,No,Good
619,10274277,tilff,4130,house,apartment block,370000,for sale,4.0,273  m² square meters,Semi equipped,nan,nan,nan,nan,nan,848  m²  square meters,1121  m²  square meters,4.0,nan,To renovate
620,10274275,tilff,4130,house,house,370000,for sale,4.0,273  m² square meters,Semi equipped,nan,nan,nan,nan,nan,848  m²  square meters,1121  m²  square meters,4.0,nan,To renovate
621,10052753,anderlecht,1070,house,house,375000,for sale,3.0,156  m² square meters,nan,nan,nan,Yes,nan,nan,140  m²  square meters,278  m²  square meters,2.0,nan,To renovate
622,10356178,dilbeek,1700,house,house,375000,for sale,4.0,190  m² square meters,Installed,nan,nan,Yes,nan,nan,nan,165  m²  square meters,2.0,No,Good
623,10430455,molenbeek-saint-jean,1080,house,house,379000,for sale,4.0,250  m² square meters,USA hyper equipped,No,nan,Yes,nan,nan,nan,100  m²  square meters,2.0,No,To be done up
624,10332759,marchin,4570,house,villa,379000,for sale,4.0,197  m² square meters,Installed,nan,1.0,nan,30  m²  square meters,nan,1381  m²  square meters,1478  m²  square meters,4.0,nan,Good
625,10424062,herzele,9550,house,house,379000,for sale,6.0,289  m² square meters,Installed,nan,nan,nan,nan,Yes,nan,266  m²  square meters,2.0,nan,Just renovated
626,10359415,wemmel,1780,house,house,389000,for sale,3.0,145  m² square meters,Semi equipped,No,nan,nan,8  m²  square meters,nan,130  m²  square meters,130  m²  square meters,2.0,No,Good
627,10446997,aarschot,3200,house,apartment block,390000,for sale,3.0,194  m² square meters,Installed,nan,nan,nan,15  m²  square meters,nan,60  m²  square meters,319  m²  square meters,3.0,nan,To be done up
628,10541445,rixensart,1330,house,house,395000,for sale,3.0,132  m² square meters,Semi equipped,No,nan,nan,20  m²  square meters,nan,290  m²  square meters,419  m²  square meters,3.0,nan,To be done up
629,10546017,h%C3%A9ron,4217,house,house,395000,for sale,3.0,140  m² square meters,Semi equipped,nan,nan,Yes,nan,Yes,nan,2797  m²  square meters,4.0,nan,Good
630,10478474,flobecq,7880,house,villa,395000,for sale,3.0,215  m² square meters,Installed,nan,nan,Yes,nan,nan,nan,1160  m²  square meters,4.0,nan,Good
631,10340871,laeken,1020,house,house,399000,for sale,3.0,145  m² square meters,Hyper equipped,nan,nan,nan,4  m²  square meters,nan,64  m²  square meters,122  m²  square meters,2.0,No,Good
632,10433476,koekelberg,1081,house,house,399000,for sale,4.0,134  m² square meters,Hyper equipped,No,nan,nan,13  m²  square meters,nan,25  m²  square meters,115  m²  square meters,2.0,No,Good
633,9964892,corroy-le-grand,1325,house,villa,399000,for sale,3.0,125  m² square meters,Installed,nan,nan,nan,10  m²  square meters,nan,766  m²  square meters,866  m²  square meters,4.0,nan,Good
634,10512502,herne,1540,house,house,399000,for sale,4.0,177  m² square meters,Semi equipped,nan,nan,nan,10  m²  square meters,nan,1258  m²  square meters,1435  m²  square meters,4.0,nan,To be done up
635,10527904,berchem,2600,house,house,399000,for sale,5.0,191  m² square meters,Installed,nan,nan,nan,57  m²  square meters,nan,nan,10290  m²  square meters,4.0,nan,Good
636,10420246,arlon,6700,house,house,415000,for sale,3.0,172  m² square meters,Installed,nan,nan,nan,nan,Yes,nan,865  m²  square meters,3.0,nan,Just renovated
