,id,location,Zip,Type,Subtype,Price,Transaction Type,Bedrooms,Living area,Kitchen type,Furnished,How many fireplaces?,Terrace,Terrace surface,Garden,Garden surface,Surface of the plot,Number of frontages,Swimming pool,Building condition
19859,10268020,vilvoorde,1800,apartment,apartment,274954,for sale,2.0,104  m² square meters,nan,No,nan,nan,8  m²  square meters,nan,nan,nan,2.0,No,nan
19860,10456378,uccle,1180,apartment,apartment,275000,for sale,2.0,150  m² square meters,Installed,nan,nan,Yes,nan,nan,nan,nan,nan,nan,nan
19861,10037566,sint-denijs-westrem,9051,apartment,apartment,275000,for sale,2.0,140  m² square meters,nan,nan,nan,Yes,nan,nan,nan,nan,nan,nan,nan
19862,10267876,vilvoorde,1800,apartment,apartment,276006,for sale,2.0,104  m² square meters,nan,No,nan,nan,8  m²  square meters,nan,nan,nan,2.0,No,nan
19863,10535539,dilbeek,1700,apartment,apartment,279000,for sale,2.0,85  m² square meters,Installed,nan,nan,nan,3  m²  square meters,nan,nan,nan,4.0,nan,As new
19864,10183032,antwerp,2000,apartment,ground floor,279000,for sale,2.0,115  m² square meters,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,To renovate
19865,10506053,gent,9000,apartment,apartment,279000,for sale,1.0,108  m² square meters,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
19866,10519759,nieuwpoort,8620,apartment,apartment,280000,for sale,1.0,51  m² square meters,Installed,Yes,nan,Yes,nan,nan,nan,nan,nan,No,As new
19867,10213385,poperinge,8970,apartment,apartment,280000,for sale,2.0,90  m² square meters,nan,No,nan,nan,nan,nan,nan,nan,nan,nan,Good
19868,10268015,vilvoorde,1800,apartment,apartment,281812,for sale,2.0,104  m² square meters,nan,No,nan,nan,8  m²  square meters,nan,nan,nan,2.0,No,nan
19869,10267903,vilvoorde,1800,apartment,apartment,281943,for sale,2.0,98  m² square meters,nan,No,nan,nan,16  m²  square meters,nan,nan,nan,2.0,No,nan
19870,10268040,vilvoorde,1800,apartment,apartment,287443,for sale,2.0,98  m² square meters,nan,No,nan,nan,16  m²  square meters,nan,nan,nan,2.0,No,nan
19871,10268008,vilvoorde,1800,apartment,apartment,287465,for sale,2.0,108  m² square meters,nan,No,nan,nan,10  m²  square meters,nan,nan,nan,2.0,No,nan
19872,10275065,vilvoorde,1800,apartment,apartment,289633,for sale,2.0,108  m² square meters,nan,No,nan,nan,11  m²  square meters,nan,nan,nan,2.0,No,nan
19873,10268012,vilvoorde,1800,apartment,apartment,296643,for sale,2.0,117  m² square meters,nan,No,nan,nan,12  m²  square meters,nan,nan,nan,2.0,No,nan
19874,10349539,brasschaat,2930,apartment,ground floor,299000,for sale,2.0,80  m² square meters,Hyper equipped,No,nan,Yes,nan,nan,nan,nan,nan,nan,As new
19875,10088608,blankenberge,8370,apartment,duplex,299000,for sale,2.0,104  m² square meters,nan,nan,nan,Yes,nan,nan,nan,nan,nan,nan,nan
19876,8881797,sint-amandsberg,9040,apartment,apartment,299000,for sale,3.0,125  m² square meters,nan,nan,nan,nan,nan,nan,300  m²  square meters,nan,nan,nan,To be done up
19877,10364503,dendermonde,9200,apartment,apartment,299000,for sale,2.0,nan,nan,No,nan,Yes,nan,nan,nan,nan,nan,No,nan
19878,10275067,vilvoorde,1800,apartment,apartment,301779,for sale,2.0,117  m² square meters,nan,No,nan,nan,12  m²  square meters,nan,nan,nan,2.0,No,nan
19879,9978359,kortrijk,8500,apartment,apartment,310000,for sale,4.0,154  m² square meters,nan,No,nan,Yes,nan,Yes,nan,nan,2.0,No,Good
19880,10268007,vilvoorde,1800,apartment,apartment,312134,for sale,2.0,123  m² square meters,nan,No,nan,nan,7  m²  square meters,nan,nan,nan,2.0,No,nan
19881,10275060,vilvoorde,1800,apartment,apartment,313883,for sale,2.0,123  m² square meters,nan,No,nan,nan,7  m²  square meters,nan,nan,nan,2.0,No,nan
19882,10485473,gerpinnes,6280,apartment,apartment,319900,for sale,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan
19883,10505913,profondeville,5170,apartment,ground floor,320000,for sale,3.0,126  m² square meters,nan,No,nan,nan,72  m²  square meters,nan,60  m²  square meters,nan,4.0,No,As new
19884,10488454,tienen,3300,apartment,duplex,325000,for sale,2.0,107  m² square meters,nan,nan,nan,nan,19  m²  square meters,nan,113  m²  square meters,nan,nan,nan,Good
19885,10531115,gent,9000,apartment,apartment,329000,for sale,2.0,nan,nan,Yes,nan,Yes,nan,Yes,nan,nan,nan,No,nan
19886,10430897,li%C3%A8ge,4020,apartment,apartment,339000,for sale,3.0,nan,Installed,nan,nan,nan,10  m²  square meters,nan,nan,nan,2.0,nan,As new
19887,10520139,sint-michiels,8200,apartment,duplex,345000,for sale,3.0,nan,nan,No,nan,Yes,nan,Yes,nan,nan,2.0,nan,Good
19888,10526034,berchem,2600,apartment,apartment,349000,for sale,2.0,83  m² square meters,nan,nan,nan,nan,12  m²  square meters,nan,nan,nan,nan,nan,nan
19889,10435464,gent%20sint-amandsberg,9040,apartment,apartment,349000,for sale,4.0,155  m² square meters,nan,No,nan,Yes,nan,nan,nan,nan,nan,nan,Good
19890,10297331,strijland,1755,apartment,apartment,349900,for sale,3.0,95  m² square meters,Not installed,nan,nan,nan,25  m²  square meters,nan,nan,nan,nan,nan,nan
19891,8655374,oudenaarde,9700,apartment,apartment,350000,for sale,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,As new
19892,8653121,oudenaarde,9700,apartment,apartment,350000,for sale,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,As new
19893,10275078,vilvoorde,1800,apartment,apartment,352639,for sale,3.0,142  m² square meters,nan,No,nan,nan,7  m²  square meters,nan,nan,nan,2.0,No,nan
