id,Neighbourhood or locality,location,Zip,Type,Subtype,Price,Transaction Type,Bedrooms,Living area,Kitchen type,Furnished,How many fireplaces?,Terrace,Terrace surface,Garden,Garden surface,Surface of the plot,Number of frontages,Swimming pool,Building condition
10409980,,sint-niklaas,9100,apartment,apartment,199000,for sale,2.0,89  m² square meters,,,,Yes,,,,,,No,As new
10443380,,ste-marie-sur-semois,6740,apartment,apartment,205000,for sale,2.0,89  m² square meters,Installed,,,,,,,,3.0,,As new
10482348,,jamoigne,6810,apartment,apartment,205000,for sale,2.0,82  m² square meters,Installed,,,,,,,,4.0,,As new
10443409,,hotton,6990,apartment,apartment,210000,for sale,2.0,84  m² square meters,Installed,,,,,,,,4.0,,As new
10273214,,tinlot,4557,apartment,duplex,220000,for sale,2.0,84  m² square meters,Installed,No,,,8  m²  square meters,,,,,No,
10550794,,courcelles,6181,apartment,apartment,220000,for sale,2.0,90  m² square meters,Hyper equipped,No,,,12  m²  square meters,,50  m²  square meters,,4.0,No,As new
10443338,,ste-marie-sur-semois,6740,apartment,apartment,220000,for sale,2.0,77  m² square meters,Installed,,,,,,,,3.0,,As new
10366132,,jamoigne,6810,apartment,apartment,220000,for sale,2.0,82  m² square meters,Installed,,,,,,,,4.0,,As new
10564121,,wielsbeke,8710,apartment,apartment,226782,for sale,2.0,110  m² square meters,,No,,,,,,,,,Good
10382487,,ste-marie-sur-semois,6740,apartment,apartment,234000,for sale,2.0,89  m² square meters,Installed,,,,,,,,4.0,,As new
10382477,,ste-marie-sur-semois,6740,apartment,apartment,234000,for sale,2.0,76  m² square meters,Installed,,,,,,,,,,As new
10312802,,brugge,8000,apartment,service flat,239500,for sale,1.0,54  m² square meters,,No,,,6  m²  square meters,,,,,No,
10359143,,strombeek-bever,1853,apartment,apartment,249000,for sale,1.0,85  m² square meters,USA installed,,,,12  m²  square meters,,,,2.0,,
10488194,,saint-nicolas,4420,apartment,duplex,249000,for sale,3.0,160  m² square meters,,No,,,25  m²  square meters,,,,2.0,No,As new
10488184,,saint-nicolas,4420,apartment,duplex,249000,for sale,2.0,165  m² square meters,,No,,,70  m²  square meters,,100  m²  square meters,,2.0,No,As new
9999015,,izegem,8870,apartment,apartment,259000,for sale,2.0,99  m² square meters,,No,,Yes,,,,,,No,
9478814,,bruxelles,1000,apartment,apartment,265000,for sale,1.0,76  m² square meters,Installed,,,,10  m²  square meters,,,,4.0,,
10018472,,kortrijk,8500,apartment,ground floor,274348,for sale,2.0,98  m² square meters,,No,,,,,,,,No,As new
10087553,,torhout,8820,apartment,apartment,292500,for sale,2.0,92  m² square meters,USA hyper equipped,,,Yes,,,25  m²  square meters,,2.0,,As new
10295266,Quai de Rome,li%C3%A8ge,4000,apartment,apartment,297000,for sale,2.0,86  m² square meters,Installed,No,,,11  m²  square meters,,,,2.0,,As new
10563807,,brakel,9660,apartment,ground floor,299900,for sale,2.0,135  m² square meters,USA installed,,,,30  m²  square meters,,300  m²  square meters,,,,As new
10264087,,dendermonde%20baasrode,9200,apartment,apartment,312500,for sale,3.0,107  m² square meters,USA hyper equipped,,,,18  m²  square meters,,,,2.0,,
10384094,,temse,9140,apartment,apartment,322500,for sale,2.0,92  m² square meters,Hyper equipped,,,,11  m²  square meters,,,,,No,As new
10563841,,antwerpen,2140,apartment,duplex,324500,for sale,4.0,106  m² square meters,,,,,1  m²  square meter,,,,4.0,No,Just renovated
10264085,,dendermonde%20baasrode,9200,apartment,apartment,324500,for sale,3.0,107  m² square meters,USA hyper equipped,,,,38  m²  square meters,,,,2.0,,
10384095,,temse,9140,apartment,apartment,325000,for sale,2.0,94  m² square meters,Hyper equipped,,,,12  m²  square meters,,,,,No,As new
10299403,,lubbeek,3210,apartment,apartment,342570,for sale,2.0,100  m² square meters,,,,,30  m²  square meters,,10  m²  square meters,,2.0,,As new
9888264,,gent,9000,apartment,service flat,365000,for sale,2.0,106  m² square meters,,No,,,12  m²  square meters,,,,,No,
10472457,,varsenare,8490,apartment,apartment,369500,for sale,2.0,105  m² square meters,Hyper equipped,,,,24  m²  square meters,,,,4.0,,
10283654,Mont Saint Martin,li%C3%A8ge,4000,apartment,apartment,395000,for sale,2.0,98  m² square meters,Installed,No,,,16  m²  square meters,Yes,,,2.0,Yes,As new
